Date     Start    Stop     Activity    Comments
16/09    10pm     12am     Coding      Spec analysis+getting started: Structure of subset 0 commands done       
25/09    2pm      4pm      Coding      legit init done, error checking implemented
26/09    10pm     12am     Coding      legit add done
27/09    9pm      10pm     Debugging   legit commit usage checks
28/09    10pm     12am     Coding      legit commit -m done
29/09    4pm      6pm      Coding      legit show done
30/09    8pm      12am     Coding      legit remove done
1/10     12am     3am      Coding      legit status draft 
1/10     4pm      6pm      Debugging   legit status deletion not working, problem with compare function
1/10     6pm      8pm      Coding      re-implemented rm error checking
